,gqa,okvqa,vqav2,aokvqa,avg,name
5,62.85577993321672,58.39,78.58,74.8471615720524,68.66823537631728,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_Universal_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0330
6,63.33280330736206,58.49,79.11,74.67248908296943,68.90132309758287,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_Universal_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0330
7,63.61106694228017,58.64,79.56,75.02183406113538,69.20822525085389,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_Universal_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0330
8,63.69852122754015,58.41,79.8,74.67248908296943,69.14525257762739,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_Universal_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0330
9,63.68262044840197,58.45,79.9,74.75982532751092,69.19811144397823,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_Universal_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0330
0,56.93273970424551,54.43,73.9,71.52838427947599,64.19778099593037,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Query_Universal_lnout_lr5e5_8ex8b_2loss_001_top6layer_textinqf_10epo_0331
1,60.05724280489744,55.95,75.28,72.31441048034935,65.9004133213117,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Query_Universal_lnout_lr5e5_8ex8b_2loss_001_top6layer_textinqf_10epo_0331
2,61.44061058991891,54.26,76.24,73.1877729257642,66.28209587892077,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Query_Universal_lnout_lr5e5_8ex8b_2loss_001_top6layer_textinqf_10epo_0331
3,61.806328510097,57.5,76.83,73.44978165938865,67.3965275423714,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Query_Universal_lnout_lr5e5_8ex8b_2loss_001_top6layer_textinqf_10epo_0331
4,62.56956590872953,58.33,77.89,73.7991266375546,68.14717313657103,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Query_Universal_lnout_lr5e5_8ex8b_2loss_001_top6layer_textinqf_10epo_0331
5,62.76037525838765,58.37,78.45,74.32314410480349,68.47587984079779,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Query_Universal_lnout_lr5e5_8ex8b_2loss_001_top6layer_textinqf_10epo_0331
6,63.5872157735729,58.28,78.99,74.8471615720524,68.92609433640632,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Query_Universal_lnout_lr5e5_8ex8b_2loss_001_top6layer_textinqf_10epo_0331
7,63.43615837176022,58.3,79.52,75.02183406113538,69.0694981082239,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Query_Universal_lnout_lr5e5_8ex8b_2loss_001_top6layer_textinqf_10epo_0331
